		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-08	2023-08-21	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
driving eye test melbourne		3	3	7	3	4	4	4	3	3	3	3	3	4	3	4	4	5	5	5	3	4	5	4	4	4	4	4	5	5	3	3	5	4	7	4	3	3	2
best optometrist melbourne		5	9	7	5	5	7	9	9	9	15	19	20	18	15	21	14	16	15	13	13	14	32	28	15	32	13	16	20	20	15	13	14	14	15	17	13	12	11
dry eye centre melbourne		10	9	8	11	8	10	10	11	9	12	11	12	10	10	11	12	11	12	12	11	10	9	10	12	10	12	13	11	12	12	18	12	10	8	12	13	17	19
dry eye clinic melbourne		10	8	8	7	9	9	10	11	9	11	10	9	8	7	8	10	10	12	11	9	13	11	9	12	11	12	14	13	14	13	14	12	8	8	6	8	9	12
dry eye specialist melbourne		11	11	11	9	10	12	11	11	9	11	10	9	9	7	10	12	11	12	11	11	12	12	8	10	10	10	9	11	12	13	12	13	6	4	4	11	10	11
dry eye treatment		-	-	-	-	-	-	63	60	61	52	62	48	61	87	-	-	-	-	-	-	-	-	68	-	-	78	71	-	69	-	-	-	-	-	-	-	-	-
ortho-k melbourne		12	11	19	13	15	14	13	14	16	14	13	12	12	14	13	15	14	11	14	13	12	14	15	13	12	12	13	11	16	16	14	14	13	12	15	13	12	15
orthokeratology melbourne		12	10	13	12	13	13	14	14	17	14	13	11	13	14	13	12	13	12	14	12	13	14	12	13	13	11	13	12	13	12	13	12	12	11	16	15	14	15
dry eye treatment melbourne		8	7	8	7	8	8	6	7	8	7	7	6	6	6	7	8	8	11	9	8	10	11	8	10	11	10	11	10	14	12	13	11	5	5	5	7	14	15
children eye test melbourne		17	18	15	23	10	13	12	11	12	9	10	11	11	11	14	15	22	17	17	17	15	20	17	13	12	12	16	15	46	41	43	51	49	54	48	65	78	61
optometrist croydon		10	11	16	15	12	11	11	11	14	11	15	11	12	8	6	8	8	7	4	5	4	4	9	12	7	8	10	10	9	7	7	9	9	8	10	13	14	11
optometrist mitcham		14	10	9	11	7	9	11	10	11	20	11	13	11	10	11	14	10	9	11	5	6	9	5	7	8	5	6	5	5	6	5	6	6	6	5	4	9	6
optometrist ringwood		4	3	3	8	3	3	3	2	2	3	2	2	2	2	1	2	1	1	2	1	2	3	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	2
optometrist bayswater		3	3	3	3	3	3	3	3	3	8	3	3	1	1	1	2	1	3	3	4	3	1	2	1	2	2	2	3	3	2	2	1	2	1	2	2	3	2
optometrist donvale		10	8	10	8	9	7	8	8	8	7	6	5	6	7	7	6	7	5	5	5	4	4	4	5	6	5	4	6	5	5	5	5	5	4	6	5	5	6
optometrist blackburn		14	11	12	12	12	9	8	8	8	9	9	8	5	5	4	5	6	6	7	7	5	4	6	5	6	6	5	8	7	8	6	9	11	11	11	10	11	13
optometrist heathmont		8	9	8	8	8	8	8	8	8	8	8	8	8	8	7	7	8	8	7	5	7	10	7	7	7	8	8	7	6	7	7	7	5	5	9	5	10	9
dry eye ringwood		4	3	4	2	3	3	4	3	4	2	3	3	2	2	1	1	1	1	2	2	2	2	2	2	2	1	1	1	2	2	1	1	1	1	1	1	1	2
dry eye mitcham		3	3	3	3	3	4	2	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2	2	4
dry eye croydon		1	1	2	4	3	2	3	3	4	2	2	2	2	1	2	1	1	5	1	1	1	1	1	1	1	1	1	1	3	2	3	4	2	2	2	1	3	2
dry eye bayswater		1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	2	1	2	1	2	1
dry eye donvale		1	1	9	8	1	7	1	6	1	1	1	1	1	1	1	2	2	2	2	3	3	3	3	2	2	1	2	2	2	1	1	1	1	2	1	1	1	1
dry eye blackburn		3	3	2	3	3	2	3	2	3	4	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5	3	1	3	2	2
dry eye heathmont		9	11	10	11	9	10	7	7	8	8	11	12	6	8	14	16	13	10	13	9	8	10	11	9	9	8	8	6	7	4	5	5	6	7	7	6	10	9
eye test ringwood		6	7	6	4	5	5	5	4	6	4	5	4	4	5	4	4	5	5	4	4	4	4	4	4	4	5	6	6	7	7	7	7	7	7	7	5	6	7
eye test mitcham		5	4	6	5	4	5	4	6	6	6	6	10	-	6	6	6	6	5	6	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	6	9
eye test croydon		12	9	12	11	11	8	10	7	10	6	5	3	3	4	5	5	4	4	4	4	4	4	5	4	5	5	5	5	5	5	4	4	3	4	4	4	5	5
eye test bayswater		1	1	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2
eye test donvale		3	3	4	4	3	4	3	14	3	3	3	3	3	3	3	3	4	3	3	4	4	4	4	4	3	3	3	3	3	4	4	4	4	4	3	3	3	5
eye test blackburn		5	3	4	5	6	5	4	6	5	5	4	4	3	3	3	6	6	5	6	6	5	4	5	4	8	6	5	6	6	6	5	5	5	7	6	6	6	6
eye test heathmont		2	3	2	3	4	1	1	1	1	1	2	2	3	3	3	3	-	3	4	4	3	5	5	4	4	3	3	3	3	3	3	3	2	3	3	2	5	4
myopia control melbourne		7	8	9	7	7	6	6	7	7	8	8	6	7	6	6	6	7	7	7	6	6	5	10	10	8	8	9	12	12	10	10	11	6	8	8	7	9	10
myopia control ringwood		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
myopia control mitcham		1	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	3	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
myopia control croydon		1	1	1	1	1	1	1	1	1	10	2	2	2	2	1	1	1	1	1	1	1	1	1	1	3	2	1	1	1	2	3	2	3	1	1	1	2	2
myopia control vermont		1	1	1	2	1	1	1	4	1	1	1	1	1	1	1	4	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	1	2	1	1	-	1
myopia control donvale		3	3	4	2	2	2	2	2	3	4	3	3	2	2	2	2	2	3	3	3	3	3	4	4	4	4	4	4	3	3	4	3	3	3	3	2	2	2
myopia control blackburn		2	2	2	2	2	2	2	2	2	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	4	4	4	4	2	2	3
myopia control heathmont		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
dry eye warrandyte		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	5	3	4	3	2	3	4	3	1	1	1	1	1	2
dry eye doncaster east		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14	13	13	16	12	11	1	1	2	1
myopia control warrandyte		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
myopia control doncaster east		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	8	8	8	8	8	2	1	1	2
optometrist warrandyte		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12	7	8	8	9	11	11	14	17	9	8	8	4	4	7	5
optometrist doncaster east		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	57	-	63	69	68	63	10	9	11	11
eye test warrandyte		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	10	8	10	12	12	3	5	3	4	2	2	2	3	3	5
eye test doncaster east		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12	8	11	30	30	25	8	6	8	10
