		2023-03-21	2023-04-14	2023-04-17	2023-05-17	2023-06-05	2023-07-21	2023-08-08	2023-09-15	2023-10-20	2023-11-17	2023-11-27	2023-12-07	2024-01-19	2024-02-15	2024-02-19	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
capacity building ndis sydney		-	-	-	49	53	-	77	70	56	68	61	62	68	66	68	-	-	-	56	54	45	9	7	6
community access ndis sydney		66	64	56	12	21	29	15	30	19	14	13	11	11	18	20	21	56	25	26	11	8	5	9	3
community participation sydney		-	-	-	-	-	-	-	-	69	69	79	81	-	-	-	-	-	-	-	-	-	-	97	75
disability accommodation sydney		39	44	36	36	47	72	63	69	81	29	30	34	37	35	38	76	27	17	16	11	14	4	6	5
disability behaviour support sydney		8	10	9	6	7	6	8	9	8	9	10	9	9	8	7	8	7	5	4	3	6	3	3	4
disability services sydney		10	10	10	4	7	7	7	8	6	6	5	4	6	2	2	3	3	3	2	2	2	2	2	2
disability support workers sydney		84	-	73	-	71	50	74	-	76	-	74	72	-	61	83	-	-	53	67	72	-	58	74	91
disability housing vacancies		-	-	-	23	13	25	13	11	10	11	10	9	12	10	17	19	20	14	16	15	13	16	17	19
ndis housing sydney		72	86	80	53	53	49	54	76	90	61	78	71	85	85	86	92	26	30	21	12	41	12	13	18
ndis self care sydney		54	61	62	22	22	34	24	24	24	20	17	15	19	12	12	10	12	11	12	5	3	3	2	1
ndis providers sydney		-	-	-	35	39	54	49	58	74	66	81	71	-	-	95	-	-	-	-	80	-	75	53	43
ndis psychologist sydney		85	93	94	74	80	40	39	24	26	25	26	24	24	27	27	35	33	35	62	54	56	71	43	60
ndis support coordination sydney		63	50	52	60	49	48	68	65	75	87	90	-	25	25	28	30	31	76	-	72	-	68	89	59
Online safety for disability		18	12	12	10	7	4	4	5	5	5	5	5	5	5	5	5	4	4	4	5	6	5	4	5
Parents with intellectual disability		-	37	41	19	20	-	29	29	29	30	30	35	22	32	31	21	9	17	17	11	11	6	-	3
supported independent living sydney		-	-	98	26	24	57	68	60	30	37	32	34	25	24	24	40	-	27	61	46	30	18	31	16
