		2024-04-05	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-23	2024-10-18	2024-11-14
alcohol delivery online australia		-	-	82	62	60	80	45	49
buy alcohol online australia		-	-	58	40	21	45	36	37
buy beer online australia		-	-	-	-	-	-	-	-
buy ciders online australia		-	45	37	-	47	43	46	51
buy gin online australia		-	-	-	61	53	98	78	88
buy japanese sake online		-	50	41	46	32	44	46	46
buy liquor online australia		-	-	-	45	20	38	24	26
buy rare whiskey online		-	24	29	24	18	30	34	32
buy rum online australia		-	48	34	41	36	51	63	60
buy single malt scotch whisky		-	-	-	56	44	-	-	-
buy single malt whisky		-	-	-	64	65	-	-	-
buy tequila online australia		-	-	30	33	25	39	38	43
buy vodka online australia		-	64	45	47	44	53	65	59
buy whiskey online australia		-	-	-	-	82	-	-	-
buy wines online australia		-	-	-	96	86	-	-	-
japanese shochu online		-	-	21	24	17	56	19	20
liquor delivery online australia		-	-	-	56	41	62	46	49
order alcohol online australia		-	69	50	49	42	59	-	39
order beer online australia		-	-	46	49	27	63	37	65
rare bourbon online		-	44	24	24	18	38	48	44
rare whiskey online		-	37	36	52	30	41	38	43
