		2023-09-11	2023-10-20	2023-11-01	2023-11-27	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
optometrist yarrawarrah		-	-	-	-	-	2	1	1	1	1	1	1	1	1	2	1
optometrist sutherland shire		-	38	22	17	19	15	11	13	14	8	7	5	7	6	4	4
optometrist sutherland		-	34	15	15	12	19	15	13	17	8	9	7	9	9	9	5
optometrist miranda		-	67	-	-	-	73	71	60	25	16	9	11	13	12	13	12
optometrist loftus		-	-	-	-	-	5	6	4	4	2	2	1	2	1	2	1
optometrist kirrawee		-	-	6	4	4	4	4	4	4	4	5	4	6	3	2	1
optometrist kareela		-	-	-	-	-	19	14	30	31	8	6	7	10	9	9	9
optometrist jannali		-	-	-	-	-	38	12	10	10	11	8	9	11	9	8	14
optometrist gymea		2	2	3	2	3	3	3	3	3	2	2	2	2	2	2	2
optometrist caringbah		-	36	-	-	-	25	15	24	32	11	11	8	10	6	11	14
eye test yarrawarrah		-	-	-	-	-	3	1	1	3	1	1	1	1	1	1	1
eye test sutherland shire		-	-	10	10	11	11	7	6	10	4	4	4	5	4	4	4
eye test sutherland		-	-	12	11	10	14	9	9	12	4	3	1	4	4	4	3
eye test miranda		-	-	-	-	-	-	82	-	55	10	7	8	9	11	10	10
eye test loftus		-	-	-	-	-	-	3	1	3	1	1	1	1	1	1	1
eye test kirrawee		-	-	8	5	5	6	2	2	2	2	1	2	1	1	1	1
eye test kareela		-	-	-	-	-	-	16	-	17	3	3	3	5	4	4	5
eye test jannali		-	-	-	-	-	-	5	5	6	5	5	5	6	6	6	14
eye test gymea		2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
eye test caringbah		-	-	-	-	-	-	12	17	16	4	4	4	4	4	4	4
dry eyes yarrawarrah		-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1
dry eyes sutherland shire		-	-	-	-	5	2	1	1	1	1	1	1	3	1	2	3
dry eyes sutherland		-	-	11	9	6	1	1	1	1	1	1	1	1	1	1	1
dry eyes miranda		-	-	-	-	-	3	3	4	10	3	3	4	5	3	4	4
dry eyes loftus		-	-	-	-	-	1	1	1	2	1	1	1	1	1	1	1
dry eyes kirrawee		-	-	1	1	1	1	1	1	1	1	1	1	2	1	2	2
dry eyes kareela		-	-	-	-	-	7	1	1	1	1	1	1	5	2	3	2
dry eyes jannali		-	-	-	-	-	3	1	1	1	3	3	3	3	3	3	3
dry eyes gymea		5	5	1	1	1	1	2	2	2	2	2	2	2	2	2	2
dry eyes caringbah		-	-	-	-	-	2	1	1	1	1	1	1	1	1	1	1
contact lenses yarrawarrah		-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1
contact lenses sutherland shire		-	-	13	12	7	1	4	2	2	3	1	2	2	1	1	1
contact lenses sutherland		-	55	23	11	11	1	1	2	2	1	1	1	1	1	1	1
contact lenses miranda		-	-	-	-	-	15	13	15	5	4	7	11	6	4	5	5
contact lenses loftus		-	-	-	-	-	2	1	1	3	1	1	1	1	1	2	1
contact lenses kirrawee		-	28	9	8	6	2	1	1	1	1	1	1	1	1	1	1
contact lenses kareela		-	35	-	-	-	9	2	2	2	2	2	2	4	2	3	3
contact lenses jannali		-	-	-	-	-	3	3	2	5	3	1	2	3	3	3	3
contact lenses gymea		3	3	4	1	1	1	1	1	2	1	1	1	2	2	2	2
contact lenses caringbah		-	-	-	-	-	5	6	1	5	1	1	1	5	2	2	3
optometrist engadine		-	-	32	32	43	36	31	26	34	12	9	10	10	10	8	7
eye test engadine		-	-	9	9	12	11	9	10	14	4	4	3	3	3	2	4
dry eyes engadine		-	-	1	1	1	1	1	1	3	1	1	1	1	1	1	1
contact lenses engadine		-	-	13	12	13	3	1	1	5	1	1	1	1	1	2	2
optometrist heathcote		-	-	-	-	-	9	9	10	10	2	2	2	2	2	2	1
eye test heathcote		-	-	-	-	-	2	2	2	2	2	2	2	2	2	2	2
dry eyes heathcote		-	-	-	-	-	1	2	1	1	1	1	1	1	1	1	1
contact lenses heathcote		-	-	-	-	-	5	1	1	5	1	1	1	2	3	1	1
optometrist cronulla		-	-	30	36	26	32	28	33	32	14	10	9	14	13	11	12
eye test cronulla		-	-	12	14	13	14	12	14	18	5	5	5	5	5	5	5
dry eyes cronulla		-	-	6	4	2	3	1	1	4	1	1	1	2	2	2	2
contact lenses cronulla		-	-	27	19	18	7	7	10	4	3	2	3	6	3	3	4
