		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-18	2023-08-03	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-05	2024-03-22	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-10-28	2024-11-14
new kitchens mooroolbark		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1
kitchens showrooms mooroolbark		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	2	1	1	1	1	1	1
kitchens mooroolbark		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	2	2	1	1	2	1	2
kitchen renovations mooroolbark		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1
kitchen designs mooroolbark		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1
custom kitchens mooroolbark		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1
kitchen designs Doncaster		1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	2	2	2	3	3	3	3	3	3	2	2	2	3	3	2	2	2	19	4	3
kitchen designs Donvale		2	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2
kitchen designs Templestowe		1	1	1	1	1	1	1	1	1	1	1	1	2	2	4	3	3	2	3	3	2	2	2	3	3	2	3	3	3	2	2	2	2	2	2	2	1	1	1
kitchen renovations Bayswater		1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	3	3	3	3	3	2	2	1	1	1	1	1	1	1	1	3	4
kitchen renovations Croydon		2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	74	1	2
kitchen renovations Hawthorn		2	2	2	2	2	2	2	2	2	5	3	3	3	3	5	3	3	3	2	2	2	3	4	4	3	3	7	6	15	15	16	13	12	12	8	8	10	8	9
kitchens Balwyn		6	5	4	5	4	7	7	4	6	6	5	5	2	5	5	4	4	4	4	4	3	3	4	3	3	3	4	4	3	3	3	5	4	5	5	3	3	3	6
kitchens Ferntree Gully		2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	1
kitchens Nunawading		5	4	4	4	5	5	5	6	6	7	9	10	9	9	9	9	10	7	8	8	8	8	8	9	10	11	12	13	12	12	14	13	9	6	9	7	7	5	13
kitchens Ringwood		1	1	1	1	1	1	2	2	2	2	2	1	1	1	3	3	3	3	2	2	3	3	2	2	2	2	1	2	2	1	2	2	1	1	2	3	29	4	3
kitchens Rowville		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	2	2	2	2	2	2	2
kitchens blackburn		6	5	4	4	4	4	5	5	5	5	5	6	7	7	7	6	8	9	8	9	6	6	5	6	6	7	9	9	10	9	8	9	11	13	8	11	10	9	12
kitchen renovations Blackburn		1	1	2	2	2	3	3	3	4	6	5	5	5	6	5	5	6	5	5	5	6	6	5	6	7	8	10	8	7	10	10	12	14	14	10	11	11	11	11
kitchens Camberwell		7	6	4	4	4	5	4	4	6	5	5	5	5	5	8	10	8	8	12	10	9	9	8	9	7	9	9	7	8	10	9	11	8	7	12	11	8	8	10
kitchen renovations Camberwell		1	1	2	2	2	2	2	2	2	2	2	2	6	5	6	8	6	7	10	8	8	8	7	8	8	8	7	6	8	10	15	10	7	5	6	12	8	6	8
kitchens Canterbury		4	4	-	4	3	89	-	7	97	-	3	4	4	4	4	4	3	4	4	4	3	3	4	5	3	5	4	2	2	2	2	2	3	4	3	2	71	9	11
kitchens Croydon		1	1	2	3	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	4	3	3	3	3	3	4	6	5	3	3	3	5	5	3	2	3	3	2	2
kitchens Doncaster		2	2	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	2	2	3	3	3	3	3	2	3	3	3	4
kitchen renovations Doncaster		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	7	5	6	2	3	2	2	5	4	2	3	5	7	4	7	4
kitchen renovations Glen Iris		3	3	-	-	-	54	-	59	68	76	5	-	4	3	4	4	4	4	3	6	13	12	13	14	13	10	13	12	12	9	9	9	7	6	5	7	9	10	10
kitchen renovations Kew		4	5	5	6	6	5	6	6	5	5	5	5	5	6	6	6	4	4	4	4	5	5	6	6	11	12	11	8	6	6	7	6	7	5	5	10	12	11	11
kitchen renovations Ringwood		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kitchen renovations Templestowe		1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	6	1	1	1	1	1	2	1	2	2	1	2	1	1	1	1	1	1	1	2
custom kitchens nunawading		1	1	1	1	1	1	1	2	2	3	2	2	2	3	3	3	3	3	3	4	3	4	3	4	4	3	3	3	3	3	3	3	2	2	3	3	4	3	7
kitchen renovations balwyn		5	7	6	6	6	6	5	5	5	5	4	4	4	5	6	6	7	6	6	6	6	8	8	5	5	2	3	3	3	3	4	3	3	4	3	2	5	3	5
kitchen renovations surrey hills		3	4	3	3	7	8	5	8	8	9	4	6	6	5	4	4	6	3	2	6	6	6	7	8	6	6	8	1	1	1	1	1	1	1	1	2	2	2	3
kitchens showrooms blackburn		4	4	5	5	5	5	5	5	4	4	4	5	4	5	6	5	5	6	4	6	4	4	3	4	5	4	5	3	2	4	5	4	5	8	7	10	9	9	9
kitchens showrooms doncaster		2	2	1	1	1	2	1	1	1	2	1	1	1	1	1	1	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
kitchens showrooms donvale		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	2	2	5	2	2	2	2	2	2
kitchens showrooms ringwood		1	1	2	1	1	1	3	2	3	3	3	3	2	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	3
kitchens surrey hills		2	2	2	5	11	10	11	11	9	9	4	4	6	6	6	6	9	7	4	7	8	9	7	9	7	6	6	5	4	3	4	4	1	2	13	5	51	4	69
new kitchens donvale		2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	2	1	1	1
new kitchens malvern		45	50	46	50	68	4	58	64	63	60	2	4	4	55	83	58	51	2	1	1	1	1	4	1	3	4	4	3	4	3	5	4	1	1	2	2	7	6	6
new kitchens canterbury		4	3	-	2	1	62	54	70	93	4	4	3	3	4	2	50	2	3	3	4	3	3	3	2	2	3	3	3	3	2	2	2	2	2	2	2	22	5	4
new kitchens vermont		-	-	-	-	-	-	-	1	2	1	1	1	1	1	1	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
new kitchens blackburn		5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	5	5	4	3	3	3	5	6	6	4	4	4	6	6	6	6	6	4	6	7	8	8
kitchen design lilydale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18	4	5	5	3	4	4	2	3	3	2	1	1	2	2	2
kitchen renovations lilydale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	85	-	-	19	6	6	7	6	5	4	4	4	1	1	1	1	1	3	2
kitchens lilydale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	22	8	9	8	8	8	6	6	6	4	3	3	3	3	5	5
kitchen showrooms lilydale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10	3	3	4	2	2	2	2	2	2	1	2	2	2	3	3
kitchen makeovers melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	2	2	2	2	2	59	2	2	2	2	2	2	2	3	4
kitchen facelift melbourne		2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	3	4	5	5	4	6	4	4	6	4	4	53	4	4	2	2	3	3	3	3	4
designer kitchens melbourne		21	18	18	13	12	19	18	23	19	18	25	18	15	20	18	20	21	31	22	21	24	21	-	-	25	25	36	36	29	34	36	29	23	27	25	31	29	33	27
new kitchens templestowe		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	4	3	3	3	3	2	2	2	2	2	2	2	1	1	1	1
new kitchens surrey hills		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	3	4	3	4	4	2	2	2	3	2	1	1	1	2	7	3	2
new kitchens rowville		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	2	2	2	3	1	1	2	2	3
new kitchens ringwood		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3
new kitchens nunawading		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	4	7	6	6	5	6	4	4	4	6	6	4	5	7	8	7	9
new kitchens mount waverley		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	2	3	2	2	2	3	3	3	3
new kitchens lilydale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17	3	3	3	3	3	1	2	2	1	1	1	1	2	2	2
new kitchens kew		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	4	3	6	5	5	7	4	5	4	4	4	6	6	7	65	10	9
new kitchens hawthorn		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	5	6	3	3	3	3	3	3	3	5	4	4	5	4	5	4	4
new kitchens glen waverley		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	52	51	11	3	2	2	2	2	2	2	2	2	2	1	1	1	1	2
new kitchens glen iris		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	4	3	3	3	3	2	2	3	1	1	2	2	1	1	3	3	4
new kitchens ferntree gully		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1
new kitchens doncaster		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2	2	1	3	2	1	2	1	2	1	2	3	1	2	2	2	3
new kitchens croydon		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	2	2	1	2	4	2	5	3	2
new kitchens camberwell		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	4	6	4	4	5	3	5	6	6	6	5	5	4	4	4	4	5
new kitchens burwood		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	3	3	4	3	3	3	4	4	2	2	2	3	3	9	11
new kitchens brighton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	7	7	5	5	2	4	1	1	1	1	2	2	2	2
new kitchens bayswater		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	3	4	3	3	3	3	3	3	3	3	1	1	1	1	3	3	4
new kitchens balwyn		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	3	3
kitchens vermont		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	2	3	3	3	3	2	2	2	9	2	3	3	5	2	25	4	2
kitchens templestowe		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	2	5	6	4	4	4	2	2	2	2	2	2	2	2	1	1	1
kitchens showrooms vermont		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	2	2	3	2	2	2	2	2	2	2	2	2	2	3	2	2	2
kitchens showrooms templestowe		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	20	11	7	5	7	6	6	5	5	6	4	5	5	7	5	4	3	5
kitchens showrooms surrey hills		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25	23	20	12	12	15	16	15	13	15	14	15	14	17	7	6	5	6
kitchens showrooms rowville		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	3	14	14	11	8	9	2	2	2	3	3	3	3	2	2	2	2
kitchens showrooms nunawading		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15	17	28	20	26	38	39	32	30	33	30	29	14	13	10	8	6	8
kitchens showrooms mount waverley		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	8	3	6	4	4	4	5	6	18	2	2	2	4	3	3
kitchens showrooms malvern		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	46	46	6	3	4	5	5	4	3	6	3	4	4	6	2	2	2	4
kitchens showrooms lilydale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	2	2	2	2	2	1	2	2	2	1	2	2	2	2	2
kitchens showrooms kew		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25	24	21	20	16	36	16	17	17	19	21	21	24	16	20	22	23	22
kitchens showrooms hawthorn		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	20	22	21	4	5	5	4	5	6	7	8	8	7	8	8	4	6	6
kitchens showrooms glen waverley		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	31	28	12	4	4	5	5	5	5	5	5	5	5	2	2	3	3	3
kitchens showrooms glen iris		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	22	15	4	3	2	2	1	2	3	2	3	2	3	2	3	4	6	4
kitchens showrooms ferntree gully		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	2	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2
kitchens showrooms croydon		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	48	38	38	16	15	50	22	18	16	42	24	19	16	16	11	19	3	5
kitchens showrooms canterbury		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	57	51	3	4	2	2	3	2	3	3	3	2	4	4	2	59	5	5
kitchens showrooms camberwell		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	47	50	35	22	28	28	16	21	27	29	32	33	19	26	11	9	9	10
kitchens showrooms burwood		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	7	7	6	6	6	6	8	6	6	8	8	7	7	13	13
kitchens showrooms brighton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	56	7	8	7	6	5	5	6	8	4	5	4	3	-	2	3
kitchens showrooms bayswater		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15	19	15	18	23	18	15	15	15	27	39	22	31	37	10	10	8	9
kitchens showrooms balwyn		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19	14	15	11	10	17	17	13	15	22	13	14	13	15	8	7	7	10
kitchens mount waverley		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12	13	10	11	11	12	10	11	9	7	7	8	9	22	8	9
kitchens malvern		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	73	34	14	9	10	10	11	10	9	7	8	6	6	8	10	12	8	13
kitchens kew		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	5	5	11	12	15	9	8	10	8	8	9	9	8	11	12	14	11
kitchens hawthorn		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	12	13	7	5	11	10	10	11	13	12	9	9	10	8	15	8	8
kitchens glen waverley		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	50	10	8	11	10	12	8	9	9	5	12	2	1	2	2	2
kitchens glen iris		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14	12	14	17	13	16	16	12	13	9	9	8	8	5	8	10	12	10
kitchens donvale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	2	1	1	1	2	2	2	2	2	2	1	2	2	2	2
kitchens burwood		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10	9	11	12	10	8	6	7	4	4	5	5	6	5	15	15
kitchens brighton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	20	21	23	20	7	10	12	9	7	3	6	5	5	5	6
kitchens bayswater		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	5	6	6	6	7	6	7	6	8	7	5	3	3	6	6	7	5
