		2020-09-17	2020-10-15	2020-11-19	2020-12-18	2021-01-16	2021-02-18	2021-03-17	2021-04-15	2021-05-20	2021-06-17	2021-07-15	2021-08-19	2021-09-16	2021-10-21	2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-18
Blood Test Vastrapur		5	4	4	5	5	6	6	4	4	4	5	4	4	4	4	4	4	4	3	4	3	4	4	4	3	3	3	3	4	2	2	2	2	-	4
Blood Test Satellite		3	3	5	4	5	5	4	4	4	4	3	3	3	2	3	3	4	2	2	3	3	3	2	3	2	3	2	3	3	3	3	4	3	-	-
Blood Test Manekbaug		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1
Blood Test Azad Society		3	1	3	5	3	5	4	5	1	1	1	1	1	5	4	2	2	1	1	3	2	3	3	3	3	4	4	3	3	3	3	3	3	-	5
Blood Test Ambawadi		5	3	3	4	4	4	4	3	1	3	3	3	3	3	4	2	2	2	3	3	2	3	2	3	3	2	2	2	2	2	2	2	2	-	-
Stool Test Vastrapur		2	2	2	3	3	4	4	5	5	3	2	1	1	1	1	1	1	1	1	1	2	3	3	4	4	4	3	2	2	2	2	2	2	-	2
Stool Test Satellite		2	2	3	4	4	3	4	4	3	4	4	3	2	4	4	1	3	1	1	2	3	2	2	2	1	2	2	2	2	2	1	1	1	-	-
Stool Test Manekbaug		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1
Stool Test Azad Society		1	1	1	3	2	3	3	3	2	3	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	-	4
Stool Test Ambawadi		4	5	5	6	6	5	4	4	3	1	3	3	3	1	4	3	4	4	5	3	5	4	3	4	4	4	4	3	3	3	2	2	2	-	10
Urine Test Vastrapur		4	4	4	3	5	4	4	5	5	4	4	4	2	1	5	1	2	3	2	4	3	3	2	5	5	5	3	3	3	2	2	2	2	-	2
Urine Test Satellite		3	4	4	4	6	6	5	5	4	5	6	3	4	5	5	8	5	2	4	3	6	5	5	8	-	3	5	4	6	4	3	1	2	-	-
Urine Test Manekbaug		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1
Urine Test Azad Society		3	3	1	4	3	3	3	3	3	3	3	3	3	3	3	2	1	1	1	2	2	2	2	2	1	4	3	1	2	2	1	1	2	-	6
Urine Test Ambawadi		3	3	1	1	1	1	1	1	1	3	3	1	1	3	3	3	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	-	27
Diagnostic Test Vastrapur		5	5	5	8	8	8	8	8	5	4	5	4	3	3	7	3	4	3	2	4	3	5	4	4	4	4	4	4	4	3	3	3	3	-	4
Diagnostic Test Satellite		5	3	3	-	-	-	6	-	-	5	5	5	5	6	7	6	33	6	4	4	6	7	3	6	6	6	5	3	4	2	2	4	4	-	-
Diagnostic Test Manekbaug		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1
Diagnostic Test Azad Society		3	4	4	6	6	6	6	9	7	7	6	6	5	7	10	6	4	3	3	4	6	9	9	12	-	8	-	-	-	-	7	6	6	-	10
Diagnostic Test Ambawadi		5	6	6	6	8	7	9	9	3	4	7	4	4	5	8	6	4	4	4	4	4	4	4	5	5	5	5	6	6	4	3	3	3	-	-
Laboratory Vastrapur		5	5	7	8	9	11	5	6	4	6	4	4	4	4	4	3	3	3	2	3	3	4	3	5	6	5	6	7	6	2	2	2	3	-	4
Laboratory Satellite		13	9	9	14	20	26	12	8	4	8	6	5	5	4	6	3	6	5	5	5	9	20	21	41	43	22	15	22	20	5	6	10	7	-	-
Laboratory Manekbaug		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1
Laboratory Azad Society		3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	3	3	2	3	3	2	2	2	2	2	-	20
Laboratory Ambawadi		6	6	6	6	7	7	6	6	4	5	5	5	5	3	5	3	3	3	4	4	3	4	4	4	5	5	7	6	6	2	2	3	2	-	-
Laboratory Ahmedabad		42	35	26	65	-	-	-	88	39	37	13	10	6	8	6	6	6	7	5	5	3	5	5	6	7	8	7	10	15	7	5	6	-	-	17
Labs Ahmedabad		-	83	80	-	-	-	-	-	99	83	68	14	12	11	12	9	8	6	7	6	5	12	9	-	24	11	11	-	-	-	8	8	-	-	-
Diagnostic Centre Ahmedabad		-	-	33	-	-	-	-	-	-	45	37	25	20	38	55	-	34	-	16	17	37	26	47	65	-	-	-	-	-	-	51	-	-	-	-
Pathology Laboratory Ahmedabad		15	14	13	21	20	15	16	21	12	15	10	7	5	5	4	3	3	3	3	3	3	3	3	5	2	2	2	2	5	2	3	3	-	-	7
Blood Test Ahmedabad		29	23	21	29	31	31	33	32	19	28	22	21	19	15	22	13	17	12	13	12	13	17	13	19	20	13	15	19	26	18	18	20	20	-	23
Stool Test Ahmedabad		6	5	4	5	6	6	6	6	3	5	5	5	6	5	5	5	4	5	5	5	5	5	4	5	5	5	5	8	8	4	5	6	4	-	25
Urine Test Ahmedabad		9	9	9	12	11	13	14	14	11	10	10	12	11	11	11	8	5	7	7	4	5	8	8	13	6	11	14	16	16	17	15	15	12	-	-
Lipid Profile Test Ahmedabad		13	12	10	20	25	26	21	23	8	14	10	10	10	12	16	10	10	14	10	11	11	14	12	14	17	15	11	15	16	12	12	11	10	-	9
Cholesterol Test Ahmedabad		32	9	10	16	15	-	-	-	-	19	11	9	8	7	12	9	8	9	8	9	9	12	11	12	12	12	10	11	14	10	11	9	11	-	9
Antenatal Profile Test Ahmedabad		3	2	2	3	2	4	2	4	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	-	1
Anc Screening Test Ahmedabad		1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1
Biopsy Test Ahmedabad		5	5	7	6	4	6	5	5	3	4	-	2	2	2	3	4	2	3	3	3	4	4	5	8	8	7	6	6	6	4	5	5	5	-	-
Pap Smear Test Ahmedabad		15	11	9	9	10	10	11	12	8	10	21	10	9	10	12	11	10	11	11	11	10	10	9	11	12	9	10	10	11	6	10	9	6	-	54
Preoperative Profile Test Ahmedabad		2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	9
Preoperative Blood Test Ahmedabad		1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	7
Preoperative Lab Test Ahmedabad		1	1	1	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	-	13
