		2021-11-18	2021-12-16	2022-01-20	2022-02-16	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-05	2023-06-16	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
brunswick dental		4	4	4	4	5	5	6	6	5	65	4	4	4	4	5	5	3	3	5	5	5	5	4	4	4	3	4	5	5	4	5	5	5	3	5	4	6	6
dentist alphington		8	6	7	7	7	7	5	6	3	3	4	4	5	8	6	5	13	7	6	14	13	10	7	8	8	7	8	10	7	7	7	7	6	8	6	7	12	11
dentist brunswick		3	3	2	3	3	4	4	4	4	4	4	5	4	4	4	4	4	3	4	3	5	5	5	5	7	3	3	4	4	3	6	7	6	8	6	8	8	9
dentist coburg		54	58	15	17	17	15	16	16	16	13	13	13	13	17	14	19	12	13	15	14	21	22	15	15	16	14	16	22	16	19	16	72	14	15	11	14	17	27
dentist east brunswick		7	8	6	6	6	6	5	5	4	4	5	5	16	13	30	23	5	4	5	7	8	8	8	7	9	7	9	8	7	7	6	6	6	6	6	7	6	11
dentist east melbourne		15	17	13	14	13	12	13	-	-	13	98	12	12	12	15	72	19	15	17	15	16	24	16	16	13	14	14	17	16	13	12	16	14	23	29	17	13	21
dentist essendon		27	29	33	29	26	25	25	25	17	18	24	23	21	22	26	28	25	17	17	27	26	25	16	18	17	16	24	31	31	32	28	34	33	28	27	32	29	28
dentist fairfield		10	14	15	10	8	7	6	7	6	7	8	11	10	26	37	19	11	7	11	17	17	13	10	13	12	11	13	14	15	15	14	15	14	9	9	12	11	10
dentist fawkner		10	8	10	10	10	11	10	9	8	7	8	7	7	7	8	8	8	8	7	10	8	9	10	6	8	9	11	13	10	10	10	7	9	5	4	6	8	7
dentist fitzroy		12	15	13	14	14	14	13	12	11	10	14	12	12	23	21	21	10	11	11	13	14	13	13	11	13	13	12	14	13	17	13	17	13	12	10	13	10	12
dentist glenroy		8	8	7	7	6	6	6	6	6	6	6	5	5	5	8	6	6	5	6	8	6	7	6	6	7	8	6	9	9	9	10	13	11	8	9	13	13	11
dentist hadfield		9	9	7	6	4	4	4	4	5	4	7	7	7	7	10	10	8	7	6	11	11	10	5	5	6	6	8	9	10	9	9	9	7	8	8	8	8	7
dentist keilor		17	18	18	22	14	14	12	18	20	19	15	17	18	28	29	29	31	12	21	31	33	26	22	20	18	17	19	23	21	22	18	20	16	23	21	30	28	25
dentist moonee ponds		30	29	29	30	27	27	28	19	16	16	19	19	18	16	22	16	15	15	17	16	16	17	16	17	17	18	16	20	16	-	19	20	25	32	17	28	30	31
dentist north melbourne		13	11	11	11	11	11	12	8	8	9	9	9	11	10	12	10	6	6	7	13	-	8	11	10	9	7	7	12	15	13	10	14	14	12	21	15	15	12
dentist northcote		18	14	17	18	17	14	15	16	17	15	19	17	13	13	29	30	17	19	17	28	28	24	15	14	15	16	15	17	16	15	15	16	11	16	12	11	12	16
dentist parkville		12	9	9	8	9	7	7	5	4	11	4	4	3	4	10	8	9	4	4	12	12	10	7	7	7	5	10	12	10	9	8	6	7	6	10	13	16	11
dentist pascoe vale		29	25	14	13	16	10	10	10	9	11	6	8	7	9	15	12	13	12	9	16	15	13	14	12	11	9	19	24	22	15	13	16	14	18	24	24	17	9
dentist preston		35	40	37	42	38	37	37	38	17	17	18	23	22	22	37	31	21	20	21	28	28	30	21	23	22	23	32	38	22	34	35	37	43	52	50	43	40	39
dentist strathmore		9	10	7	7	7	56	7	9	7	4	4	7	7	8	16	10	10	7	7	10	10	7	7	7	5	5	6	6	6	7	5	6	10	9	8	7	9	8
dentist thornbury		14	13	11	20	15	11	13	16	13	13	13	14	13	20	20	15	24	14	14	15	15	25	17	15	16	17	22	22	20	17	19	19	15	14	16	14	15	15
dentist west brunswick		82	74	15	16	20	44	17	15	19	10	8	8	8	9	10	11	10	10	10	89	9	9	9	7	7	7	10	11	3	4	5	4	3	3	4	7	8	8
dentures alphington		6	7	5	5	3	3	6	4	1	3	3	3	3	3	5	5	5	4	5	6	6	5	5	5	7	6	7	9	8	6	6	6	5	4	5	5	6	7
dentures brunswick		1	1	2	1	1	1	1	3	3	2	3	2	1	1	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
dentures coburg		36	37	11	10	7	10	7	11	12	12	15	14	13	25	22	24	16	17	14	19	19	14	16	20	15	18	16	16	14	14	17	17	14	14	11	10	11	8
dentures east brunswick		2	2	2	2	1	1	1	1	1	1	1	1	2	3	4	3	4	5	1	4	1	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2
dentures east melbourne		17	4	38	4	4	3	29	36	19	9	12	8	6	7	8	25	36	12	26	-	6	57	3	2	2	3	1	2	4	3	4	4	4	3	2	3	3	4
dentures essendon		18	13	23	14	12	12	13	11	12	13	14	10	13	13	17	17	19	15	10	15	15	14	12	11	14	14	17	17	17	16	14	11	15	14	20	13	17	14
dentures fairfield		8	12	7	6	6	7	7	7	7	7	8	8	7	10	14	16	11	11	9	11	10	12	12	7	11	11	13	15	15	15	13	12	11	10	5	10	11	9
dentures fawkner		4	4	4	4	4	3	4	3	3	3	4	3	3	3	4	5	5	3	3	3	3	3	2	4	2	3	3	2	2	2	1	1	1	1	1	1	1	2
dentures fitzroy		9	6	8	6	7	6	8	8	8	4	6	6	5	6	9	7	5	5	6	6	6	6	7	5	5	5	5	6	7	7	7	7	9	6	6	5	5	5
dentures glenroy		5	5	5	5	3	3	3	3	3	3	4	3	3	3	4	4	5	5	6	7	7	4	4	5	5	5	5	6	5	5	5	6	3	3	3	3	3	5
dentures hadfield		4	4	2	2	2	2	-	2	4	2	4	4	4	4	4	5	4	2	4	6	6	6	2	2	3	3	3	3	3	3	3	3	3	3	3	3	4	4
dentures keilor		9	9	8	8	6	9	10	10	12	10	11	9	8	12	22	19	7	19	13	25	31	10	11	10	12	15	15	17	18	17	16	20	18	22	15	10	11	11
dentures moonee ponds		9	11	10	6	6	6	6	8	8	7	7	6	2	3	6	7	7	6	5	8	7	4	4	3	3	4	3	3	3	1	1	1	2	3	2	1	2	3
dentures north melbourne		8	3	3	4	4	4	3	2	3	19	2	2	2	2	3	6	7	4	5	12	15	13	6	7	3	4	4	3	2	2	2	2	1	2	4	4	7	7
dentures northcote		4	4	4	5	5	4	4	3	4	5	7	6	6	11	9	7	11	6	7	8	8	5	5	7	5	6	6	6	7	5	6	6	6	5	4	4	4	4
dentures parkville		8	2	1	2	2	2	6	7	7	2	2	2	2	2	2	2	2	2	2	2	2	5	2	4	2	3	3	6	4	3	4	4	6	3	4	4	4	5
dentures pascoe vale		10	13	9	8	3	3	3	3	4	5	4	5	4	6	7	5	5	5	6	11	10	7	6	8	5	5	7	9	7	5	5	6	6	6	4	4	4	4
dentures preston		13	15	9	8	3	9	8	12	12	12	12	13	11	11	16	72	11	12	10	16	14	13	84	14	14	15	15	17	18	19	13	15	16	13	13	9	8	10
dentures strathmore		1	2	3	2	1	11	2	2	2	2	3	2	2	2	4	3	6	2	2	7	7	5	3	6	4	3	2	2	2	2	2	2	2	3	3	2	2	1
dentures thornbury		-	7	11	8	28	7	5	40	4	5	7	8	8	11	12	10	12	10	10	17	16	10	7	11	11	8	7	7	8	9	9	11	7	6	6	6	5	6
dentures west brunswick		9	7	9	8	2	8	6	6	7	3	3	3	3	3	3	3	4	4	2	4	3	2	-	1	2	2	1	2	2	1	1	2	1	1	1	2	2	2
root canal treatment brunswick		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	4	4	6	8	7	7	7	8	9	7	7	8	9	9	9	11	10
root canal treatment east brunswick		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	2	2	5	3	3	4	3	2	3	3	3	4	3	3	4	3	8
root canal treatment west brunswick		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	1	1	1	4	2	2	2	3	3	2	2	4	4	3	5	4	4
root canal treatment moonee ponds		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13	7	7	7	10	10	11	11	10	10	13	12	14	10	8	10	11	11
root canal treatment parkville		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	3	3	4	3	3	4	4	4	3	3	3	3	3	6	5	5	5
