		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-06	2022-12-14	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-16	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-17	2024-08-16	2024-09-20	2024-10-18	2024-11-14
bulk billed eye test Farmborough Heights		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
bulk billed eye test primbee		-	-	-	-	-	-	-	-	-	-	-	-	5	-	-	-	-	-	-	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
bulk billed eye test windang		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
children's optometrist Farmborough Heights		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2
children's optometrist primbee		-	-	-	-	-	-	-	-	-	-	-	-	5	5	7	-	6	4	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
children's optometrist warilla		-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	2	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
children's optometrist windang		-	-	-	-	-	-	-	-	-	-	-	-	6	8	2	4	4	3	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
diabetic eye screening Farmborough Heights		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	2	1	2	2	1	1	2	-	1	2	1	1	1	1	2
diabetic eye screening primbee		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	-	-	1	-	-	1	1	1	1	1	1	2	1	1	1	1
diabetic eye screening shell cove		-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1
diabetic eye screening shellharbour		-	-	-	-	-	-	-	-	-	-	-	-	1	2	1	3	2	2	3	1	1	2	2	2	2	2	2	4	2	3	2	2	2	2	1	2
diabetic eye screening warrawong		-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	3	3	3	1	1	1	1	1	1	1	1	1	1	1
diabetic eye screening windang		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	1	-	-	1	-	-	-	-	1	1	1	2	2
diabetic eye screening wollongong		-	-	-	-	-	-	-	-	-	-	-	-	5	5	5	5	5	4	5	8	8	6	6	5	5	7	6	10	13	13	14	17	7	9	6	7
eye test Farmborough Heights		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
eye test primbee		-	-	-	-	-	-	-	-	-	-	-	-	68	-	-	-	-	39	2	2	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
eye test warilla		-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2	3	3
eye test warrawong		-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	3	2	1	1	2	2	1	1	2
eye test windang		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
family eye care Farmborough Heights		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	2	2	6	1	5	2	1	2	1	2	3	2	1	1	1	1
family eye care figtree		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	7	6	6	6	8	7	9	6	6	9	8	8	8	9	9	6	9	10
family eye care primbee		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	-	-	4	2	3	1	1	1	1	3	1	1	1	1	1	1
family eye care shell cove		-	-	-	-	-	-	-	-	-	-	-	-	1	2	2	-	-	1	1	3	3	1	2	1	1	1	1	2	2	2	2	2	2	2	2	2
family eye care shellharbour		-	-	-	-	-	-	-	-	-	-	-	-	8	9	12	7	9	4	6	4	7	4	6	6	6	4	4	4	3	5	4	7	11	3	4	3
family eye care unanderra		-	-	-	-	-	-	-	-	-	-	-	-	2	2	3	3	3	2	3	2	3	1	2	2	2	2	2	2	2	2	2	2	1	1	1	2
family eye care warilla		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10	-	-	11	11	8	7	-	6	3	3	2	3	3	2	2	3	1	1	1	1
family eye care warrawong		-	-	-	-	-	-	-	-	-	-	-	-	4	4	2	1	1	1	4	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
family eye care windang		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	1	-	1	-	-	1	1	1	2	2	3	2	1	1	1	1
family eye care wollongong		-	-	-	-	-	-	-	-	-	-	-	-	13	12	15	-	14	9	-	12	13	9	-	10	13	4	6	7	7	7	7	8	9	7	9	10
kids eye test Farmborough Heights		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kids eye test figtree		-	-	-	-	-	-	-	-	-	-	-	-	1	2	2	3	3	4	3	2	3	4	2	2	2	2	2	2	2	2	2	2	2	1	1	2
kids eye test primbee		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kids eye test shellharbour		-	-	-	-	-	-	-	-	-	-	-	-	2	3	3	3	2	4	5	5	5	3	3	3	3	2	3	3	2	3	2	2	2	2	4	4
kids eye test warilla		-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2
kids eye test windang		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
myopia control dapto		-	-	-	-	-	-	-	-	-	-	-	-	7	6	8	8	8	9	10	1	1	1	1	2	2	1	2	1	2	2	2	2	2	2	1	1
myopia control Farmborough Heights		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
myopia control figtree		-	-	-	-	-	-	-	-	-	-	-	-	4	5	4	3	4	4	3	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
myopia control primbee		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
myopia control shell cove		-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
myopia control shellharbour		-	-	-	-	-	-	-	-	-	-	-	-	1	3	6	5	6	5	4	5	4	3	3	2	2	2	2	2	2	1	2	2	2	1	1	1
myopia control unanderra		-	-	-	-	-	-	-	-	-	-	-	-	2	3	5	3	4	1	2	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1
myopia control warilla		-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
myopia control warrawong		-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	2	1	3	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
